"YEAR","MAX ELEVATION","MIN ELEVATION","DIFFERENCE","MAX AIR TEMP","MIN AIR TEMP","MAX WATER TEMP","MIN WATER TEMP"
"2020","3608.73","3603.56","5.17","66.0","0.0","50.0","45.0"
"2019","3621.68","3568.51","53.17","104.0","0.0","82.0","45.0"
"2018","3622.74","3581.85","40.89","106.0","18.0","80.0","47.0"
"2017","3635.80","3593.85","41.95","108.0","21.0","81.0","47.0"
"2016","3621.45","3591.14","30.31","109.0","0.0","82.0","47.0"
"2015","3614.32","3589.82","24.50","107.0","19.9","81.0","47.0"
"2014","3609.72","3574.21","35.51","99.0","21.9","80.0","45.0"
"2013","3609.59","3584.43","25.16","99.0","12.0","80.0","43.0"
"2012","3639.62","3609.77","29.85","99.0","21.0","81.0","47.0"
"2011","3660.90","3609.70","51.20","99.0","1.0","82.0","45.0"
"2010","3638.82","3618.62","20.20","106.0","19.0","84.0","48.0"
"2009","3642.30","3609.70","32.60","107.1","16.0","80.0","47.0"
"2008","3633.72","3588.24","45.48","102.9","15.1","81.0","45.0"
"2007","3611.68","3594.64","17.04","106.0","12.9","82.0","45.0"
"2006","3610.87","3588.66","22.21","106.0","18.0","83.0","46.0"
"2005","3608.38","3555.10","53.28","107.1","15.1","83.0","48.0"
"2004","3597.06","3564.42","32.64","102.0","18.0","80.0","45.0"
"2003","3619.94","3597.22","22.72","107.1","19.9","83.0","47.0"
"2002","3656.08","3620.10","35.98","107.1","17.1","82.0","46.0"
"2001","3673.02","3656.17","16.85","102.9","17.1","80.0","46.0"
"2000","3683.40","3669.89","13.51","107.0","17.0","85.0","48.0"
"1999","3694.73","3677.20","17.53","110.0","17.0","79.5","50.0"
"1998","3697.06","3672.81","24.25","107.0","15.0","82.0","50.0"
"1997","3695.09","3663.08","32.01","120.0","18.0","80.5","50.0"
"1996","3688.31","3671.79","16.52","107.0","16.0","80.0","52.0"
"1995","3693.75","3644.59","49.16","115.0","20.0","n/a","n/a"
"1994","3665.75","3650.02","15.73","110.0","19.0","n/a","n/a"
"1993","3668.70","3612.46","56.24","106.0","18.0","n/a","n/a"
"1992","3634.01","3615.91","18.10","105.0","15.0","n/a","n/a"
"1991","3639.02","3624.55","14.47","103.0","12.0","n/a","n/a"
"1990","3658.42","3633.48","24.94","110.0","4.0","n/a","n/a"
"1989","3679.73","3658.46","21.27","109.0","-2.0","n/a","n/a"
"1988","3693.31","3679.76","13.55","106.0","13.0","n/a","n/a"
"1987","3698.47","3677.47","21.00","102.0","12.0","n/a","n/a"
"1986","3700.02","3680.68","19.34","104.0","17.0","n/a","n/a"
"1985","3700.12","3674.82","25.30","106.0","12.0","n/a","n/a"
"1984","3702.46","3672.99","29.47","102.0","17.0","n/a","n/a"
"1983","3708.34","3682.01","26.33","102.0","18.0","n/a","n/a"
"1982","3687.83","3661.89","25.94","103.0","10.0","n/a","n/a"
"1981","3681.38","3667.47","13.91","106.0","21.0","n/a","n/a"
"1980","3700.59","3672.45","28.14","105.0","25.0","n/a","n/a"
"1979","3684.77","3626.93","57.84","106.0","9.0","n/a","n/a"
"1978","3652.75","3622.29","30.46","105.0","5.0","n/a","n/a"
"1977","3655.40","3630.05","25.35","107.0","14.0","n/a","n/a"
"1976","3672.27","3655.31","16.96","106.0","15.0","n/a","n/a"
"1975","3674.93","3645.34","29.59","103.0","16.0","n/a","n/a"
"1974","3667.35","3646.92","20.43","107.0","7.0","n/a","n/a"
"1973","3648.84","3590.60","58.24","107.0","16.0","n/a","n/a"
"1972","3619.71","3603.02","16.69","108.0","15.0","n/a","n/a"
"1971","3622.34","3598.80","23.54","108.0","3.0","n/a","n/a"
"1970","3601.77","3566.62","35.15","108.0","14.0","n/a","n/a"
"1969","3581.18","3539.39","41.79","107.0","18.0","n/a","n/a"
"1968","3550.38","3513.30","37.08","106.0","8.0","n/a","n/a"
"1967","3532.85","3502.23","30.62","106.0","4.0","n/a","n/a"
"1966","3545.68","3521.45","24.23","106.0","11.0","n/a","n/a"
"1965","3534.63","3490.76","43.87","110.0","20.0","n/a","n/a"
"1964","3491.99","3394.50","97.49","107.0","8.0","n/a","n/a"
